user_id,user_name,num_games,max_viewers
126902046,Lobanjicaa,2,3122
42848761,자동,2,3094
50191268,Crayator,2,3091
267477473,CemBengul,2,3063
52614128,thedarkness,2,3059
46021592,OfficialAndyPyro,2,3050
64638702,CreativeMonkeyz,2,3050
74478648,AF5live,2,3022
66302775,RobertoCein,2,3003
147509339,MorganCooling,2,2994
113537067,Harmii,2,2970
120244187,Aydan,2,2965
175372427,Cacarov,2,2955
128149102,ShivFPS,2,2936
41567638,Rumathra,2,2923
36811285,TobinatorLP,2,2905
141986126,SmexyCake,2,2895
49303276,Nick28T,2,2800
73915127,lolwingz,2,2790
38446500,G4G_REVENANT,2,2744
109156870,thaCOOP,2,2711
218726370,m0NESYoF,2,2709
48865821,Staiy,2,2649
134039697,FifaTargrean,2,2606
52615982,Pieface23,2,2581
107627864,SoyFelipez360,2,2565
85604590,Noste,2,2561
20786541,Yogscast,2,2560
214560121,BrookeAB,2,2555
128489946,Cizzorz,2,2550
42141251,MasterSnakou,2,2531
7093315,slop3,2,2500
134931057,BeatPug,2,2498
86268118,ClintStevens,2,2464
123922797,IamCristinini,2,2463
58393005,calango,2,2447
31813025,BruceGrannec,2,2438
172531433,Oslo_,2,2431
16677765,六希夫,2,2402
12731745,Deadlyslob,2,2391
22479463,SR_Kaif,2,2391
28572093,Kubon_,2,2386
137724090,미라지,2,2371
56514218,thedanirep,2,2336
20483303,Dexbonus,2,2280
77398054,Van_Hinten88,2,2277
43131877,Savjz,2,2250
137753119,웁_게임방송,2,2245
32915274,MarckozHD,2,2190
57938681,SkipNhOLIVE,2,2187
501717654,PotasticP,2,2173
53657951,ftmawf,2,2160
43334060,DieHahn,2,2131
39692658,ElOjoNinja,2,2107
61243967,PainLivestream,2,2063
240649584,JadeyAnh,2,2061
28243295,Terroriser,2,2030
95752586,PYROX,2,2026
105014242,patcutez,2,2008
65757403,kutcherlol,2,1993
41245072,Loserfruit,2,1988
58753574,Zeling,2,1987
114843487,liawaifu,2,1942
48538184,mob5tertv,2,1925
506122386,jeffmcneil,2,1922
27085209,Aiekillu,2,1905
190708734,Altair,2,1889
141414675,NoctisAK47,2,1878
72960162,jschritte,2,1858
118956645,TURI,2,1815
49495142,AkTep,2,1810
112094449,heyZeusHeresToast,2,1801
70915697,robert87000,2,1784
49233748,개복어,2,1757
160989002,박옥자누나,2,1752
159099058,Suri,2,1729
63614185,SNAILKICKtm,2,1726
30977449,Sekiam,2,1720
4123340,AngryJoeShow,2,1706
456149099,tiaguitosgamerpt69,2,1673
73065110,Katth,2,1642
63740412,Attrix,2,1635
26910894,Payamz,2,1630
137731615,후추갓,2,1607
175163251,피닉스박1,2,1606
43043577,HeyarTV,2,1559
38111795,ninexttt,2,1556
39101461,kislu,2,1530
66996733,AdamKissAK,2,1523
141809509,melisaqua,2,1513
24233423,Videoyun,2,1508
81628627,Gladd,2,1502
134666774,AquaFPS,2,1502
153794984,Vitality,2,1483
78626614,StereOnline,2,1483
37738094,BTURBO,2,1473
130433306,케인,2,1469
35043466,Lachu,2,1464
70302631,CurtisRyan,2,1461
91616150,LazaPLAYS,2,1461
137298121,xc3jo,2,1455
60806516,MrMoonsHouse,2,1448
116882497,Mirza_Jahic,2,1439
193531341,Pelegrino1993,2,1438
156781485,eldenguee,2,1405
75502413,NairoMK,2,1394
142907660,scumtk,2,1393
58383015,Draineo,2,1390
97123979,RevedTV,2,1387
117031241,DocJazy,2,1382
103262684,JASONR,2,1380
247808909,QTCinderella,2,1371
25530456,NoSympathyy,2,1356
89890241,BOBLEGOB,2,1345
89751834,2SekundovyMato,2,1344
485833997,griziesport,2,1338
62951382,AKAWonder,2,1334
37705807,Smzinho,2,1320
43780497,BlackFIreIce,2,1308
401772012,albertonaska,2,1305
74547642,elBokeron,2,1292
137098953,JugiPelaa,2,1276
145993982,TheHungerService,2,1273
269071396,numeiro_,2,1272
184325380,KalathrasLolweapon,2,1260
124403155,JulietteArz,2,1259
72945990,SaltyPhish,2,1259
112677505,kyivstoner,2,1253
181357564,TolkinLoL,2,1248
36945915,MarcusKron,2,1247
427839768,TRNRtips,2,1244
54743381,javixae,2,1241
194954209,alkanhraje,2,1221
85034121,maleK_CSGO,2,1220
32402794,Silent,2,1199
195675197,steel,2,1190
39801475,nems,2,1189
73911501,LusorKoeffizient,2,1182
35860120,LumeiFei,2,1182
69450980,Avery,2,1177
95155668,NeverSayYesTwitch,2,1158
112295341,andersonjph,2,1132
181713478,Saidogna,2,1125
99741198,LuDaKiS,2,1123
39263242,bibaboy,2,1121
123843446,TigerYUUK,2,1112
143140193,ka1nz0r1337,2,1110
54319112,NickDaBooM,2,1082
51304190,stegi,2,1081
118110732,K_i_ra,2,1071
43995715,JorgoTheBeast,2,1070
44407373,ZakvielChannel,2,1063
184727782,R_U_S_C,2,1061
38253174,Eposlol,2,1059
46708418,BeasttrollMC,2,1050
127361301,ANTILIPSI,2,1049
211715969,ElisaViihdeSport,2,1048
9528182,ChilledChaos,2,1045
35828637,Low4n,2,1045
65863839,TeamleSS,2,1035
60392247,SodaKite,2,1034
60160906,GTimeTV,2,1033
55660184,paulanobre,2,1033
27954235,Nuke73,2,1033
503405013,buttbabyoil,2,1028
65287820,ぺにょ,2,1024
225314329,tbxnee,2,1022
88510702,BeastSnakeLIVE,2,1018
128440061,Zentreya,2,1018
191289883,김똘복,2,1001
79866989,FrivviFox,2,1001
40181830,MahrioJr,2,999
485062250,hwo1v9,2,996
131052434,蒼汁,2,976
123217703,Jameskii,2,972
75665310,jotaaah,2,972
25923265,Loopk,2,970
50187366,NicroVeda,2,969
32184566,rxnexus,2,968
458519131,tropec0,2,967
41503604,Flocke,2,959
274625,Swiftor,2,956
37558817,lturepublic,2,956
21615575,Nilesy,2,953
38350595,DrFeelgood,2,949
502907526,stcplay,2,942
38747372,xxPLAYAWAYxx,2,941
176426110,mnvrse,2,936
42896693,JaboodyShow,2,926
27931774,Halifax,2,925
446766072,문월님,2,916
65411398,Juice,2,914
54303213,MTashed,2,905
91305522,unlckyme,2,903
517183195,bbbbhoi,2,897
102777268,BazzaGazza,2,881
26933810,spiritow,2,880
43298229,D1rtyD3vil,2,880
118974117,KeriosRiven,2,874
138116960,만득,2,870
150436863,gskianto,2,863
40028988,FireDragon,2,862
94651182,Mo_Aubameyang,2,856
36191747,FeregTV,2,847
260722430,daltoosh,2,845
46719113,GorilaNerd,2,837
413914717,lucasalvadori,2,832
134927899,TenekeKafalar_TK,2,830
53831525,Leffen,2,826
56964879,TwoAngryGamersTV,2,821
102205475,Scrub,2,814
125089656,Turna,2,814
89816009,WhiteyDude,2,811
219068259,AngoryTom,2,809
206755311,J3Cha,2,806
53671473,physicalgamerz,2,806
29157943,hc_diZee,2,802
83080855,HarrisHeller,2,795
133208673,Lanvirion,2,793
101898938,Uepalee,2,780
20420989,Shortyyguy,2,779
30070692,BeastQT,2,776
53886728,Herr_Currywurst,2,774
